nama,kategori,kabupaten_kota,deskripsi,harga_tiket,jam_operasional,fasilitas,rating,latitude,longitude,kontak,tips,foto_url,foto_kredit
Pantai Nambo,bahari,Kota Kendari,"Pantai andalan Kota Kendari dengan pasir putih landai dan air laut tenang, populer untuk berenang dan bersantai sore hari bersama keluarga.",Rp 10.000,06:00 - 21:00,"Parkir, warung makan, gazebo, toilet",4.3,-4.0523,122.5781,0811-4000-001,Datang sore hari untuk menikmati matahari terbenam,,
Pantai Kendari (Kendari Beach),bahari,Kota Kendari,"Kawasan pesisir Teluk Kendari yang jadi pusat kuliner malam dan area rekreasi warga kota, cocok untuk jalan santai sambil menikmati suasana teluk.",Gratis,24 jam,"Area kuliner, parkir, tempat duduk umum",4.1,-3.9821,122.5195,0811-4000-002,Ramai saat malam minggu dengan banyak pilihan kuliner,,
Masjid Al-Alam Kendari,religi,Kota Kendari,"Masjid terapung ikonik yang berdiri di atas Teluk Kendari, menjadi salah satu masjid apung terbesar di Indonesia sekaligus landmark kota.",Gratis,04:00 - 22:00,"Parkir luas, tempat wudhu, area foto",4.6,-3.9945,122.5147,0811-4000-003,Waktu terbaik berkunjung saat menjelang magrib untuk pemandangan senja,https://commons.wikimedia.org/wiki/Special:FilePath/Masjid_Al_Alam_Kendari.jpg?width=800,Foto: Didym / Wikimedia Commons (CC BY-SA 4.0)
Taman Kota Kendari (eks MTQ),alam,Kota Kendari,"Ruang terbuka hijau di pusat kota dengan danau buatan, jalur jogging, dan panggung terbuka, favorit warga untuk berolahraga dan bersantai.",Gratis,05:00 - 22:00,"Jogging track, danau buatan, kios jajanan",4.0,-3.9945,122.5312,0811-4000-004,Cocok untuk olahraga pagi sebelum matahari terlalu terik,,
Sentra Kuliner Teluk Kendari,kuliner,Kota Kendari,Deretan warung dan kafe di sepanjang Teluk Kendari yang menyajikan aneka hidangan laut segar dan kuliner khas Sulawesi Tenggara.,Gratis masuk,16:00 - 23:00,"Parkir, live music akhir pekan, area anak",4.2,-3.986,122.521,0811-4000-005,Pesan ikan bakar dan sinonggi khas Kendari,,
Museum Provinsi Sulawesi Tenggara,sejarah,Kota Kendari,"Museum yang menyimpan koleksi benda budaya dan sejarah suku-suku di Sultra seperti Tolaki, Buton, Muna, dan Moronene.",Rp 5.000,08:00 - 16:00 (Senin-Jumat),"Pemandu, parkir, ruang pamer ber-AC",3.9,-3.999,122.518,0811-4000-006,Cocok untuk wisata edukasi bersama rombongan pelajar,,
Air Terjun Moramo,alam,Konawe Selatan,"Air terjun bertingkat dengan sekitar 7 tingkatan utama dan puluhan undakan kecil menyerupai kolam alami, dikelilingi hutan Suaka Alam Tanjung Peropa.",Rp 15.000,07:00 - 17:00,"Parkir, gazebo, warung, area bilas",4.7,-4.1892,122.57,0811-4000-007,Gunakan alas kaki anti-licin karena bebatuan cukup licin,https://commons.wikimedia.org/wiki/Special:FilePath/Air_Terjun_Moramo.jpg?width=800,Foto: Firstlab18 / Wikimedia Commons (CC BY-SA 4.0)
Pulau Bokori,bahari,Konawe,"Pulau kecil berpasir putih di kawasan Soropia dengan air laut jernih kehijauan, populer untuk snorkeling dan foto prewedding.",Rp 15.000 + perahu,07:00 - 17:00,"Perahu penyeberangan, gazebo, toilet",4.5,-3.8593,122.7561,0811-4000-008,Sewa perahu dari Dermaga Soropia sekitar 20 menit,,
Pulau Saponda,bahari,Konawe,"Gugusan pulau kecil dengan pantai pasir putih dan spot snorkeling yang masih alami, cocok untuk wisata one day trip dari Kendari.",Rp 20.000 + perahu,07:00 - 16:00,"Perahu sewa, gazebo sederhana",4.3,-3.8125,122.789,0811-4000-009,Bawa bekal sendiri karena warung terbatas,,
Pulau Labengki,bahari,Konawe Utara,"Dijuluki miniatur Raja Ampat Sulawesi Tenggara, terdiri dari gugusan pulau karst dengan laguna biru jernih dan terumbu karang yang masih terjaga.",Rp 25.000 + perahu,07:00 - 17:00,"Homestay terbatas, perahu wisata, spot diving",4.8,-3.3521,122.8654,0811-4000-010,Kunjungan terbaik saat musim kemarau (April-Oktober) untuk visibilitas air terbaik,https://commons.wikimedia.org/wiki/Special:FilePath/Pulau_Labengki_Besar.jpg?width=800,Foto: Wikimedia Commons (CC BY-SA 4.0)
Air Terjun Tamborasi,alam,Kolaka,"Air terjun unik yang mengalir langsung ke bibir pantai, sehingga pengunjung bisa menikmati air tawar dan air laut sekaligus dalam satu lokasi.",Rp 10.000,07:00 - 18:00,"Parkir, warung, area bilas",4.4,-4.2451,121.7332,0811-4000-011,Padukan kunjungan dengan sunset di pantai sebelahnya,,
Danau Motonuno,alam,Konawe,"Danau alami dengan air biru kehijauan yang dikelilingi tebing batu kapur, sering disebut Danau Tiga Warna versi Sulawesi Tenggara.",Rp 10.000,08:00 - 17:00,"Parkir, gazebo, jalur trekking pendek",4.2,-3.7245,122.3654,0811-4000-012,Trekking ringan sekitar 15 menit dari area parkir,,
Pantai Watu Jaru,bahari,Kolaka,"Pantai dengan formasi bebatuan unik menyerupai gong raksasa, air laut tenang dan cocok untuk berenang bersama keluarga.",Rp 5.000,06:00 - 18:00,"Parkir, warung sederhana",4.0,-4.0987,121.6234,0811-4000-013,Datang saat air surut untuk melihat formasi batu lebih jelas,,
Air Terjun Lamedai,alam,Kolaka Timur,Air terjun yang tersembunyi di tengah perkebunan warga dengan kolam alami berwarna hijau tosca yang jernih dan sejuk.,Rp 10.000,07:00 - 17:00,"Parkir, warung, area ganti pakaian",4.3,-4.0125,121.9432,0811-4000-014,Jalan kaki sekitar 500 meter dari area parkir,,
Pantai Watu Wila,bahari,Bombana,"Pantai berpasir putih dengan air laut jernih dan deretan pohon kelapa, masih relatif sepi sehingga cocok untuk yang mencari ketenangan.",Rp 5.000,06:00 - 18:00,"Parkir, gazebo",3.9,-4.4987,121.9876,0811-4000-015,Bawa perbekalan sendiri karena fasilitas masih terbatas,,
Benteng Keraton Buton (Benteng Wolio),sejarah,Kota Baubau,"Diklaim sebagai benteng terluas di dunia dengan keliling sekitar 2.740 meter, berisi kompleks masjid, makam raja, dan meriam kuno peninggalan Kesultanan Buton.",Rp 10.000,08:00 - 18:00,"Pemandu lokal, parkir, warung suvenir",4.7,-5.4679,122.6178,0811-4000-016,Sewa pemandu lokal untuk cerita sejarah kesultanan yang lebih lengkap,https://commons.wikimedia.org/wiki/Special:FilePath/Benteng_Wolio.jpg?width=800,"Foto: Wikimedia Commons (Dok. Pemerintah Indonesia, domain publik)"
Pantai Nirwana,bahari,Kota Baubau,"Pantai populer di Baubau dengan dermaga kayu memanjang ke laut, favorit untuk menikmati sunset dan berfoto.",Rp 5.000,06:00 - 22:00,"Parkir, warung kuliner, gazebo",4.4,-5.4732,122.6089,0811-4000-017,Jam terbaik berkunjung adalah sore hari menjelang matahari terbenam,,
Pantai Kamali,bahari,Kota Baubau,Kawasan pantai di pusat Kota Baubau yang ramai jadi tempat kuliner malam dan ruang publik keluarga.,Gratis,24 jam,"Area kuliner, panggung hiburan, parkir",4.1,-5.4691,122.6145,0811-4000-018,Kunjungi saat car free day akhir pekan,,
Batu Poaro,alam,Kota Baubau,"Formasi bebatuan raksasa yang menjorok ke laut dengan pemandangan Selat Buton, menjadi spot foto ikonik di Baubau.",Gratis,06:00 - 18:00,"Parkir, area foto",4.0,-5.455,122.6234,0811-4000-019,Berhati-hati karena permukaan batu bisa licin saat hujan,,
Pulau Kadatua,bahari,Buton Selatan,"Pulau dengan pantai berpasir putih dan tebing karst yang menawan, serta perkampungan nelayan tradisional yang masih asri.",Rp 15.000 + perahu,07:00 - 17:00,"Perahu penyeberangan, homestay warga",4.3,-5.5789,122.5321,0811-4000-020,Naik perahu dari Pelabuhan Baubau sekitar 30 menit,,
